epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,75.8703,2.10673,0.88036,0.99084,0.31357,0.00333266,0.00333266,0.00333266
2,147.941,0.7188,0.92522,0.99501,0.19565,0.00633603,0.00633603,0.00633603
3,221.36,0.72816,0.93236,0.99501,0.18545,0.00900939,0.00900939,0.00900939
4,298.868,0.68954,0.95001,0.99717,0.1301,0.008515,0.008515,0.008515
5,375.144,0.54488,0.96739,0.99892,0.09433,0.00802,0.00802,0.00802
6,453.209,0.44651,0.97521,0.99906,0.06804,0.007525,0.007525,0.007525
7,531.247,0.38916,0.9779,0.99946,0.06307,0.00703,0.00703,0.00703
8,609.058,0.35102,0.98033,0.99919,0.05715,0.006535,0.006535,0.006535
9,686.955,0.31959,0.981,0.99919,0.05166,0.00604,0.00604,0.00604
10,764.195,0.29087,0.98181,0.99919,0.04856,0.005545,0.005545,0.005545
11,842.878,0.27154,0.98302,0.99919,0.0456,0.00505,0.00505,0.00505
12,920.196,0.25279,0.9837,0.99946,0.04356,0.004555,0.004555,0.004555
13,997.075,0.23075,0.98531,0.99946,0.04137,0.00406,0.00406,0.00406
14,1074.45,0.21693,0.98585,0.99946,0.03999,0.003565,0.003565,0.003565
15,1151.58,0.20387,0.98599,0.99946,0.03863,0.00307,0.00307,0.00307
16,1228.84,0.18468,0.98666,0.99946,0.03741,0.002575,0.002575,0.002575
17,1306.17,0.16737,0.9872,0.99946,0.03633,0.00208,0.00208,0.00208
18,1383.22,0.15321,0.98801,0.99946,0.03507,0.001585,0.001585,0.001585
19,1460.33,0.13749,0.98841,0.9996,0.03407,0.00109,0.00109,0.00109
20,1536.93,0.12567,0.98868,0.9996,0.03292,0.000595,0.000595,0.000595
