epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,135.605,2.13668,0.87389,0.98868,0.3261,0.00333262,0.00333262,0.00333262
2,257.982,0.6346,0.89989,0.99421,0.25027,0.00640198,0.00640198,0.00640198
3,393.294,0.65709,0.94247,0.99528,0.17416,0.00920734,0.00920734,0.00920734
4,517.233,0.6455,0.95554,0.99784,0.12189,0.008812,0.008812,0.008812
5,634.386,0.51204,0.9651,0.99811,0.09282,0.008416,0.008416,0.008416
6,748.265,0.42804,0.97373,0.99879,0.07463,0.00802,0.00802,0.00802
7,860.562,0.3698,0.97966,0.99906,0.06004,0.007624,0.007624,0.007624
8,980.706,0.3374,0.97817,0.99919,0.05509,0.007228,0.007228,0.007228
9,1107.6,0.30483,0.98127,0.99933,0.04921,0.006832,0.006832,0.006832
10,1239.93,0.2879,0.98127,0.99946,0.04744,0.006436,0.006436,0.006436
11,1364.09,0.26603,0.98316,0.99973,0.04395,0.00604,0.00604,0.00604
12,1477.45,0.25338,0.98343,0.99973,0.04291,0.005644,0.005644,0.005644
13,1593.17,0.23177,0.98356,0.99973,0.04091,0.005248,0.005248,0.005248
14,1713.62,0.21889,0.98397,0.9996,0.03957,0.004852,0.004852,0.004852
15,1837.32,0.20484,0.98545,0.9996,0.03801,0.004456,0.004456,0.004456
16,2007.91,0.19168,0.98572,0.9996,0.0371,0.00406,0.00406,0.00406
17,2142.37,0.18027,0.98545,0.9996,0.03644,0.003664,0.003664,0.003664
18,2269.34,0.1728,0.98612,0.9996,0.03561,0.003268,0.003268,0.003268
19,2394.82,0.16184,0.98666,0.9996,0.03495,0.002872,0.002872,0.002872
20,2520.54,0.14555,0.98626,0.9996,0.03429,0.002476,0.002476,0.002476
21,2646.95,0.13486,0.9868,0.9996,0.03348,0.00208,0.00208,0.00208
22,2770.59,0.12368,0.9876,0.9996,0.03252,0.001684,0.001684,0.001684
23,2891.93,0.11608,0.98828,0.9996,0.03156,0.001288,0.001288,0.001288
24,3018.85,0.10281,0.98841,0.9996,0.03057,0.000892,0.000892,0.000892
25,3150.46,0.0943,0.98895,0.9996,0.02962,0.000496,0.000496,0.000496
